0,95,74
1,117,73
2,118,51
3,95,50
4,2,72
5,22,74
6,22,50
7,4,50
8,140,73
9,158,71
10,158,50
11,142,50
12,23,97
13,46,97
14,47,75
15,71,97
16,94,96
17,94,74
18,71,74
19,118,96
20,138,95
21,139,73
22,117,74
23,94,118
24,115,118
25,116,97
26,95,97
27,137,116
28,156,114
29,157,94
30,139,95
31,47,119
32,70,118
33,47,98
34,12,24
35,21,23
36,20,3
37,1,24
38,141,26
39,159,26
40,158,3
41,141,3
42,47,73
43,71,50
44,47,51
45,47,25
46,71,26
47,70,1
48,46,2
49,96,26
50,118,25
51,118,2
52,95,2
53,21,49
54,47,50
55,46,26
56,22,25
57,94,26
58,72,26
59,118,50
60,140,49
61,140,26
62,119,27
63,3,73
64,3,50
65,159,71
66,157,50
67,117,96
68,72,50
69,95,26
70,11,25
71,21,24
72,20,2
73,2,23
74,158,26
75,118,26
76,95,1
77,47,74
78,95,73
79,22,49
80,159,50
81,158,94
82,47,118
83,69,118
84,157,3
85,2,50
86,3,24
