0,108,14
1,118,14
2,119,1
3,107,1
4,2,16
5,15,15
6,14,2
7,1,3
8,56,14
9,69,15
10,69,1
11,56,2
12,82,14
13,95,14
14,94,2
15,82,2
16,29,15
17,43,15
18,41,2
19,29,2
20,71,28
21,83,27
22,82,15
23,70,15
24,17,29
25,30,28
26,16,16
27,44,28
28,57,29
29,57,15
30,43,16
31,95,27
32,107,27
33,106,14
34,96,15
35,109,39
36,120,39
37,119,26
38,108,26
39,84,40
40,95,40
41,84,28
42,59,42
43,71,41
44,70,28
45,4,43
46,17,42
47,3,29
48,32,42
49,45,41
50,44,29
51,31,29
52,97,52
53,109,52
54,108,39
55,96,41
56,46,55
57,59,54
58,58,42
59,46,42
60,72,54
61,84,53
62,83,41
63,72,41
64,19,56
65,32,55
66,31,42
67,19,43
68,109,64
69,119,63
70,119,52
71,85,65
72,96,65
73,96,53
74,85,53
75,60,67
76,72,66
77,60,55
78,34,68
79,46,67
80,46,56
81,33,56
82,7,69
83,19,69
84,6,57
85,97,76
86,109,76
87,97,65
88,73,78
89,85,78
90,84,66
91,73,67
92,48,80
93,60,79
94,47,68
95,145,20
96,156,12
97,158,2
98,149,7
99,21,81
100,33,80
101,20,69
102,30,14
103,43,14
104,42,1
105,29,1
106,83,14
107,119,14
108,118,1
109,107,2
110,2,14
111,16,14
112,15,1
113,2,2
114,18,28
115,30,27
116,29,14
117,16,15
118,44,27
119,57,28
120,57,14
121,71,27
122,82,27
123,71,15
124,146,20
125,156,11
126,148,8
127,20,79
128,32,79
129,32,66
130,20,68
131,107,14
132,32,41
133,45,40
134,43,28
135,31,28
136,119,39
137,108,27
138,4,41
139,17,41
140,3,27
141,96,52
142,108,52
143,96,40
144,19,53
145,31,54
146,19,41
147,47,79
148,59,78
149,59,67
150,71,53
151,83,53
152,83,40
153,84,65
154,6,67
155,19,67
156,18,54
157,6,54
158,59,66
159,71,66
160,71,54
161,33,66
162,45,66
163,45,54
164,33,55
165,72,78
166,84,77
