0,41,35
1,49,33
2,45,21
3,38,22
4,95,37
5,109,35
6,107,18
7,93,22
8,7,38
9,9,32
10,4,15
11,3,26
12,71,42
13,82,40
14,80,25
15,69,28
16,51,45
17,61,44
18,57,31
19,113,52
20,128,49
21,127,32
22,111,35
23,85,54
24,97,53
25,95,38
26,83,40
27,147,48
28,240,25
29,147,28
30,146,28
31,63,56
32,73,56
33,71,43
34,45,58
35,53,58
36,51,46
37,44,47
38,100,68
39,114,67
40,112,52
41,98,53
42,76,69
43,87,68
44,85,55
45,74,56
46,56,69
47,65,69
48,63,57
49,54,58
50,131,66
51,148,65
52,147,47
53,129,49
54,17,69
55,33,66
56,34,59
57,17,62
58,89,82
59,101,82
60,87,69
61,50,81
62,58,80
63,56,70
64,48,70
65,68,81
66,77,81
67,75,69
68,66,70
69,116,83
70,131,82
71,131,67
72,115,67
73,80,94
74,91,95
75,78,82
76,104,97
77,117,97
78,103,83
79,133,98
80,150,98
81,149,83
82,133,83
83,60,92
84,69,93
85,67,81
86,59,81
87,108,17
88,124,13
89,122,2
90,106,4
91,92,22
92,91,6
93,77,10
94,58,30
95,68,28
96,65,14
97,56,17
98,127,31
99,145,28
100,142,9
101,125,14
102,91,53
103,103,52
104,101,36
105,89,39
106,4,108
107,33,116
108,30,105
109,29,103
110,69,54
111,79,53
112,77,40
113,68,41
114,118,51
115,136,49
116,134,31
117,118,33
118,137,69
119,156,68
120,155,49
121,137,50
122,52,55
123,60,54
124,59,43
125,51,44
126,105,68
127,119,68
128,118,52
129,104,52
130,81,67
131,92,67
132,90,53
133,79,54
134,62,66
135,70,67
136,69,55
137,61,55
138,24,63
139,38,63
140,42,55
141,23,57
142,72,79
143,82,80
144,81,68
145,71,67
146,93,81
147,106,83
148,104,68
149,92,68
150,56,77
151,63,78
152,62,67
153,55,67
154,65,90
155,73,92
156,64,79
157,121,84
158,137,86
159,137,68
160,121,68
161,83,93
162,94,95
163,93,82
164,82,81
165,107,98
166,121,100
167,120,84
168,107,84
169,137,102
170,156,106
171,156,87
172,138,86
173,87,22
174,100,18
175,98,2
176,85,6
177,66,27
178,75,25
179,74,10
180,63,13
181,116,15
182,133,10
183,132,4
184,115,3
185,49,31
186,56,30
187,55,17
188,47,19
189,103,35
190,117,34
191,115,15
192,100,19
193,78,39
194,88,38
195,87,23
196,76,25
197,59,42
198,67,41
199,57,30
200,135,30
201,154,27
202,153,6
203,133,11
